name,city,country
Cole Farm Airport,Kensington,US
Silver Creek Airport,Baker,US
Murphy Field,Auburn,US
Hal Joy Airfield,Williamsfield,US
Green Acres Airport,New Lebanon,US
Freefall Oz Airport,Ceres,US
Glaser Field,Buckholts,US
Cavok Airpark,Cleveland,US
Hunter Airport,Columbia,US
M Sansom Ranch Airport,Paint Rock,US
6 Mile Airpark,Fort Mckavett,US
Mount Horeb Field,Grottoes,US
Lazy River Airport,Wausaukee,US
Western Airpark,Yelm,US
J & W Windy Hill Airport,Van Alstyne,US
Campbell Field,Aubrey,US
Pan Lake Strip,Willow,US
Bro Majors Airfield,Trapper Creek,US
Morrilton Airport,Morrilton,US
Richvale Airport,Richvale,US
Ocean Reef Club Airport,Key Largo,US
Alcovy Airport,Covington,US
Pope Pate Field,Ocilla,US
Hoskins Landing Airport,Shambaugh,US
Shepard Strip,Oldtown,US
Gray Airport,Boggstown,US
Heape Field,Augusta,US
Blue Lick Airport,Louisville,US
Richmond Plantation Airport,Forest Hill,US
Baugher's Orchard Airport,Westminster,US
Lake Sexton Airport,Warrensburg,US
Glasgow Industrial Airport,Glasgow,US
Hawks Meadow Airport,Waxhaw,US
Border Line Farm Airport,Baker,US
Pleasant Valley Airport,Snyder,US
Dream Air Airport,Albion,US
Folmar Airport,Grassflat,US
Salaika Aviation Airport,Danbury,US
Peak 7 Ranch Airport,Gainesville,US
Cross Country Estates Marshall Field,Georgetown,US
E Northrop Grumman Airport,Howell,US
Alpha Hotel Airport,Clover,US
Meadow Airport,Jericho,US
Fisher Airport,Big Lake,US
Base Camp Airstrip,Palmer,US
Garrison Airport,Ashdown,US
Kistler Ranch Airport,Jamestown,US
Terra Firma Airport,Rush,US
Sunniland Ranch Airport,Okeechobee,US
J H Hendrie Farms Airport,Lake Placid,US
Sapelo Island Airport,Darien,US
Symms Airport,Marsing,US
Marshall Farms Airport,Cortland,US
Alderson Airport,Bennington,US
Boss Airport,Burnside,US
Sauer Airport,Dwight,US
Aileron Airport,Grand Coteau,US
Lindbergh Airport,Avon,US
Twin Oaks Airport,Jasper,US
Midsouth Airpark,Coldwater,US
Matovich Airport,Grass Range,US
Brecht Strip,Golden Valley,US
Bell Mountain Airport,Zirconia,US
Md1 Airport,Middletown,US
Kenley Airport,Hartford,US
Parks Airport,Wilburton,US
Broken B Airport,Hydro,US
Saxon Sycan Airport,Silver Lake,US
Ptc Airport,Fayetteville,US
Flying G Ranch Airport,Bynum,US
Lz Tango Charlie Airport,Fredericksburg,US
Cross Wind Airport,Weatherford,US
Pinelodge Rwy Airport,La Sal,US
P-L Ranch Airport,Lacey,US
Faikel Airfield,Howard,US
Knolle Ranch Airport,Snook,US
Peterson Airport,Old Ocean,US
West Beaver Airport,Big Lake,US
Kachemak Landing Airport,Homer,US
Stronghold Airport,St David,US
Alta Sierra Airport,Grass Valley,US
Cottonwood Field,Swink,US
Placid Lakes Airport,Lake Placid,US
Cheryl-Lane Landings Airport,Bushnell,US
Elliott Field,Dawsonville,US
Skydive Iowa Airport,Brooklyn,US
Taylor Ranch Landing Area Airport,Moscow,US
Gordon Airport,Columbia City,US
Coffman Airport,Wellsville,US
Pine Hill Airport,Capron,US
Perrotti Skyranch Airfield,Berwick,US
Paint Creek Ranch Airport,Sula,US
William Irving Lewis Airport,Broadway,US
Summer Hill Farm Airport,Bennington,US
Dakota Air Ranch Airport,Ramseur,US
Ragtime Aerodrome,Collinsville,US
Eagle Field,Port Matilda,US
Xwind Farm Airport,Ravenna,US
Pitcock Rosillos Mountain Ranch Airport,Marathon,US
Rustler Canyon Airstrip,Moab,US
Alum Ridge Airport,Floyd,US
Parkway Farm Strip,Holmen,US
Yakataga Airport,Yakataga,US
Farewell Airport,Farewell,US
Rangeview Airstrip,Trapper Creek,US
Kalifonsky Meadows Airport,Kenai,US
Scotts Airport,North Pole,US
Anderson Lake Airport,Wasilla,US
Yentna Bend Strip,Willow,US
Parker Lake Airport,Montana Creek,US
Young Creek Airport,May Creek,US
Victory Airport,Victory Bible Camp,US
Bradley Lake Hydroelectric Project Airstrip,Homer,US
Fireweed Airport,Mccarthy,US
Falcon Lake Strip,Point Mackenzie,US
Resort Airport,Foley,US
Flomaton Airport,Flomaton,US
Wilson Creek Airport,Florence,US
Bent Hickory Air Ranch Airport,Point Cedar,US
Eagletail Airport,Tonopah,US
Western Sky Airpark,Salome,US
Flying Bucket Ranch Airport,Mobile,US
Castle Well Airport,Morristown,US
Pom Wonderful Airstrip,Del Rey,US
Shepherd Farm Airport,Santa Ynez,US
Hoffman Airport,Santa Ysabel,US
Emory Ranch Airport,Ocotillo,US
Blech Ranch Airport,Shandon,US
Foxx Valley Airport,Yoder,US
Pinon Canyon Airport,Trinidad,US
Fox Hole Airport,Lafayette,US
Yosemite Hidden Lake Ranch Airport,Raymond,US
Krey Field,Adelanto,US
John Nichol's Field,Chula Vista,US
Fiorini Ranch Airport,Delhi,US
Sutter Butte Dusters Airport,Live Oak,US
Dave's Airport,Louisville,US
Crested Butte Airpark,Crested Butte,US
Lebeau Ranch Airport,Kiowa,US
Flying M & M Ranch Airport,Norwood,US
Van Treese Airport,Monte Vista,US
Ott's Landing Airport,Arcadia,US
The 2A Ranch Airport,Ormond Beach,US
Dugger Field,Freeport,US
Yoder Field,Blountstown,US
Breezy Knoll Airport,Defuniak Springs,US
Joy Farms Airport,Defuniak Springs,US
Harpers Fly-In Ranch Airport,Clewiston,US
Mc Daniel Ranch Inc Airport,Clewiston,US
Halls Flying Ranch Airport,Hampton,US
Mustang Field,Hartwell,US
"Airnautique, Inc Airport",Hartwell,US
Ayresouth Airport,Temple,US
Sunset Strip,Jersey,US
Paso Fino Farm Airport,Valdosta,US
Gentle Landings Air Park,Roberta,US
Pinewood Airport,Douglasville,US
Crystal Lake Airpark,Irwinville,US
Lookout Mountain Airport,Trenton,US
Pecan Patch Airstrip,Sunnyside,US
Mountain Airpark,Cleveland,US
Carpenter Airport,Appling,US
Pegasus Ranch Airport,Rocky Ford,US
Sharar Field,Mediapolis,US
Moore Airport,Millerton,US
South Fork Ranch Airport,Featherville,US
Ziggy's Airport,Filer,US
Flying Joseph Ranch Airport,May,US
Coyote Run Airport,Mountain Home,US
Black Butte Ranch Airport,Shoshone,US
Z X Ranch Airport,Murphy,US
Pinnacle Airport,Grangeville,US
Corral Creek Airport,Helmer,US
Chuck's Airport,Albany,US
Frost Field,Greenfield,US
Sutton's Field,Lowell,US
Winters Airport,Hall,US
Griffin Airport,Alma,US
Davis Rla Airport,Hammond,US
Jack W Watson Airport,De Kalb,US
Snider Field,Decker,US
Air Park Field,Woodburn,US
Byrne Field,Byrneville,US
Parrish Airport,Mount Vernon,US
Cady Aerial Airport,Deer Grove,US
J V Ranch Airport,Osage City,US
Leverton Airport,Udall,US
Norris Airport,Lawrence,US
Oasis Aerodrome,Great Bend,US
Moore Homestead Airport,Hays,US
Mono Aircraft Airport,Cheney,US
Pearce Field,Parsons,US
Lmn 120 Airport,Douglas,US
Owen Air Park,Owenton,US
Arnemann Farms Airport,Franklin,US
Boyce Wafer Farm Airport,Bowling Green,US
Clinton-Hickman County Airport,Clinton,US
Belcher Airpatch Airport,Belcher,US
Rebel Field,Walker,US
Kaufield Airport,Belvidere,US
Jerseyville Aviation Inc Airport,Jerseyville,US
Koenig Airport,Jerseyville,US
Flaherty Field,La Salle,US
Busboom Airport,St Joseph,US
Gord Airport,Sandwich,US
Theriot Field,Thibodaux,US
Stafford Airport,Cankton,US
Morgan Field,New Roads,US
Taylor Field,Sudlersville,US
Squier Landing Airport,Cobb Island,US
Walters Airport,Mount Airy,US
Peasley Field,Otis,US
Lesterson-Dempsey Airstrip,Gwinn,US
Fagen Field,Granite Falls,US
Flying G Airport,Creighton,US
Veach Field,Freeman,US
Harrison Airport,Hurdland,US
Sloan's Airport,Elsberry,US
Topton Air Estates Airport,Meridian,US
Morgan Field,Seminary,US
Addison-Henley Field,Pass Christian,US
Catfish Point Airport,Benoit,US
Shenandoah Valley Farms Airport,Houston,US
Kimp Airport,Hamilton,US
Cottonwood Airport,Laurel,US
Hanson Airport,Marion,US
Pinehurst Ranch Airport,Thompson Falls,US
Lone Hawk Airport,Whitefish,US
Lambs Field,Lone Jack,US
Rpm Airport,Fair Grove,US
Goerger Airport,Barney,US
Boyd's Turf Airport,Golva,US
H & J Strip,Elon,US
Lindsay Airport,Madison,US
Flying S Ranch Airport,Cleveland,US
Gilbertson Field,Flora,US
Schumacher Strip,Hague,US
Merrihew Airport,Ashby,US
Runner Landing Area Airport,Ashby,US
Flying V Airport,Utica,US
Dix Field,Linwood,US
Berdick Field,Cattaraugus,US
Westwind Farm Airport,Charlton,US
Seven Gullies Airport,Groveland,US
Columbus Municipal Airport,Columbus,US
Negrito Airstrip,Reserve,US
Bennetts Airport,North Creek,US
Kermizian Airport,Ohio,US
Murphys Lndg Strip,Perth,US
Wenskoski Field,Perth,US
Freeman Swank Farms Airport,Butler,US
Fry Airport,Piqua,US
Victor's Landing Airport,Kingsville,US
Hidden Quarry Airport,Lucasville,US
Mckey Airport,Elmore City,US
Viskup Family Field,Bartlesville,US
Rock Creek Farm Airport,Coal Gate,US
Chappell Airport,Guthrie,US
Ellis/Harvey Airport,Guthrie,US
Ramey 1 Airport,Marlow,US
Long Ranch Airport,Merrill,US
Rome Service Airport,Rome,US
Marr Field,Monmouth,US
Sutton On Rogue Airport,White City,US
Haunstein Airport,Shermans Dale,US
Robbins Farm Airport,Troy,US
Fisher Airport,Franklin,US
Lakeview Airport,Sheakeyville,US
Nichols Airport,Spartansburg,US
Memmi Airport,Three Springs,US
Drillmore Acres Airport,Newburg,US
Shriver Airport,Titusville,US
Frederick Airpark,Tylersburg,US
Carsonville Airport,Carsonville,US
Old Orchard Airport,Curwensville,US
Harman Airport,Elizabethville,US
Bledsoe Ranch Airport,Hoover,US
Smith Farms Airport,Halfway,US
Erco Field,Kaufman,US
B Flying Ranch Airport,Mason,US
Robertson Ranch Airport,Comstock,US
Hilltop Lakes Airport,Hilltop Lakes,US
Santa Maria Ranch Airport,Laredo,US
Lbj Ranch Airport,Johnson City,US
R & S Buzzard Airport,Spring Hill,US
Village Airport,Greenback,US
Mc Donald Airport,Murfreesboro,US
Riner Farm Airport,Norris,US
Hye Airport,Hye,US
Bass Breeze Ranch Airport,Cleveland,US
Flying U Airport,Mineral Wells,US
Nassau Bay Airport,Granbury,US
Pecan Plantation Airport,Granbury,US
Mill Iron Ranch North Airport,Wellington,US
Shiloh Airport,Flower Mound,US
Elm Creek Airpark,Seguin,US
Twisted Js Airport,Farmersville,US
Lz Mustang Airport,Kosse,US
Card Aerodrome,Greenville,US
Rambo Airfield,Warrenton,US
Johnson Fox Field,Bedford,US
Riverwood Airport,Iron Gate,US
Hunt Airport,Manquin,US
Worley Field,Rocky Mount,US
Brooklyn Airport,Manquin,US
Dwight Field,Chehalis,US
Curtis Airport,Curtis,US
Mort's Landing Airport,Comstock,US
Doering Farms Airfield,Monches,US
Snow Crest Ranch Airport,Montello,US
Dog Run Airport,Mondovi,US
Pickel Point Airport,Platteville,US
With Wings And A Halo Airport,Neenah,US
Rucilla's Roost Airport,Sequim,US
Shangri-La Airport,Selah,US
Coopers Landing Airport,Kennewick,US
Rockdale Airport,Rockdale,US
Freedom Air Ranch Airport,Freedom,US
Dorsey Creek Ranch Airport,Basin,US
Rnw Airport,Paradise,US
Seven C's Ranch Airport,Freer,US
74 Ranch Airport,Campbellton,US
Bar 3 Ranch Airport,Georgetown,US
John Fields Ranch Airport,Sonora,US
Anacacho Ranch Airport,Spofford,US
Dunbar Ranch Airport,Spofford,US
French Field,Bullard,US
Hunt Strip,Wasilla,US
Hilton Field,Delta Junction,US
Hickory Ridge Airport,White Hall,US
Farm Ag Airport,Buckeye,US
Mack Mesa Airport,Mack,US
Flying Baron Estates Airport,Leesburg,US
Seven Feathers Airport,Dunnellon,US
Beaverbrook Aerodrome,Griffin,US
Flyers Airport,Waterloo,US
Flat Top Airstrip,Muldoon,US
Fence Field,Jasonville,US
Gills' Landing Field,Elkton,US
Industrial Helicopters Inc Airport,Scott,US
Lejeune Aerial Applications Airport,Basile,US
Flying V Ranch Airport,Williamsburg,US
Johnston Farm Airport,Jackson,US
Smith Strip,Halliday,US
Zoellner Airport,Huron,US
Hickory Hills Airport,Norman,US
Flatwood Field,Lebanon,US
2C Ranch Airport,Laneville,US
Rosser Ranch Airport,Graham,US
Nashs Airport,Appomattox,US
Buds Landing Airport,Pound,US
Willow Creek Ranch Airport,Kaycee,US
Sterling Airport,Port Lavaca,US
Flying S Air Ranch Airport,Brownwood,US
Rocking T Ranch Airport,Delta Junction,US
Whetstone Airport,Huachuca City,US
B & L Farms Airport,Homestead,US
Williams Field,Middleburg,US
Koch Field,Hudson,US
Jr's Airport,Danville,US
Davis Field,Winfield,US
Thacker Airport,Chenoa,US
Jasmine Hill Airport,Glenmora,US
Bulljump Airport,Wareham,US
Tim's Airport,Salisbury,US
Redgate Ranch Airport,Williamsburg,US
Lammers Airport,Shawmut,US
Hop House Airpark,Fort Plain,US
Johnson Landing Strip,Millbrook,US
Hide-A-Way Hills Resort Airport,Bremen,US
Nail Spring Ranch Airport,Bonanza,US
Eakin Airport,Cranberry,US
Flying M Ranch Airport,Grandview,US
Denney Airport,Mcminnville,US
Flying R Airport,Huntsville,US
Devil's Reach Landing Airport,Oak Grove,US
Homeport Airport,Cheney,US
Thompson Creek Oilfield Airport,Hulett,US
Briar Lakes Ranch Airport,Palestine,US
Gibbons Airport,Marvell,US
Ranta Strip,Morristown,US
Newton Field,Stratford,US
Richter Aviation Airport,Maxwell,US
Plueger Airfield,Lemars,US
Flying B Ranch Landing Strip,Salmon,US
J & S Field,Darmstadt,US
Sooter Airport,Sedgwick,US
John M Foree Airport,New Castle,US
Kml Airport,Sulphur,US
Hains Airstrip,Rayne,US
Ridgeview Airport,Searsmont,US
Lincolns Field,Hingham,US
Atlantic Field Mcolf Airport,Atlantic,US
Pietschtree Airstrip,Burlington,US
Reisig Brothers Airport,Scottsbluff,US
Gile Pond Airport,Sanbornton,US
Westport Airport,Westport,US
T & C Acres Airport,Richard Springs,US
Mcgregor Airfield,Brookville,US
Flying M Airport,Kingston,US
Skinner Ranch Airport,Jordan Valley,US
Over The Hill Airport,Elgin,US
Balentine Woodbine Airport,Alvarado,US
Meadowlake Airport,Kingston,US
Blo Airport,Mineral Wells,US
D An P Farm Airport,Gainesville,US
Griffin Airport,Bertram,US
Red Annie Ranch Airport,Moab,US
Hop-Along Airport,Clifton Forge,US
Fowlers Nw 40 Airport,Spokane,US
Crazy Horse Airport,Hamlin,US
Black Diamond Airport,Burlington,US
Satterbergs Airport,Houston,US
Earle Airpark,Hastings,US
Oak Ridge Plantation Airport,Sylvester,US
Holt Airpark,Oak Park,US
Gage Airport,Decatur,US
Daniel's Landing Airport,Andover,US
Miles Airport,Owensboro,US
Socatean Bay Airport,Rockwood,US
Domeyer Airport,Lenox,US
Greener Pastures Airpark,Carriere,US
Sorenson Airport,Kremlin,US
Oak Grove Mcolf Airport,Pollocksville,US
Hock Airport,Culbertson,US
Beaverhead Airstrip,Silver City,US
Dusenbury Field,Walnut Cove,US
Aubrey Mountain Airstrip,Oakridge,US
Rigrtona Airport,Tidioute,US
Varisco Airport,Bryan,US
Van Es Ranch Airport,Oilton,US
Sunset Ranch Airport,Mico,US
Goatneck Airport,Cleburne,US
Rocky Pond Airstrip,Orondo,US
Nowatzski Field,Markesan,US
Flying 5B Ranch Airport,Iredell,US
Four Corners Airport,Palmer,US
Ruby Star Airpark,Green Valley,US
East River Airport,Armstrong,US
Peaceful Cove Airport,Boise,US
G & S Space Port Airport,Parker,US
Blue Haven Farm Airport,Paris,US
Serenity Field,Independence,US
Arrow Airpark,Flemington,US
Rose Field,Hickory,US
Sandy Rock Airport,Gildford,US
Camp Davis Mcolf Airport,Holly Ridge,US
Hagen Airport,Reeder,US
Heilman Airport,Kenton,US
Windy Hill Airport,Iowa Park,US
O S Wyatt Airport,Realitos,US
Mathers Field,Canadian,US
Keyes Ranch Airport,Dripping Springs,US
Krens Farm Airport,Hillsboro,US
Abilene Airport,Farmville,US
Crossroad Airport,Newport Center,US
Lz Ranch Airport,Olympia,US
Gillette's Lakewood Lodge Airport,Stone Lake,US
Frog Pond Airport,Sherman,US
Isbell Ranch Airport,Davilla,US
Golden North Airfield,Cantwell,US
Taylor Airport,Brickeys,US
Hunt Farms Airport,Merced,US
Cannon Creek Airpark,Lake City,US
Stella Airport,Bellvue,US
Scanlon Airport,Coeur D'Alene,US
Gittleson Farms Airport,Franklin Grove,US
Bugtown Airport,New Harmony,US
Cloverleaf Ranch Airport,Tiskilwa,US
Canapitsit Airport,Gosnold,US
Eagle Field,North Yarmouth,US
Tyler Farms Airport,Watkins,US
Monte Carlo Airport,Holts Summit,US
Saubak Airport,Lustre,US
Dragonfly Field,Ahoskie,US
Sindt Airport,Upland,US
Stoner Mem Airport,Randlett,US
J R Ranch Airport,Briggs,US
Aeroplex Airfield,Lucas,US
Flying J Airport,Sadler,US
Field Of Dreams Airport,Morgan,US
Fox Acres Airport,Warrenton,US
Oomrang Air Airport,Stanwood,US
Peterson Field,Oregon,US
Hauptrief Aero Airport,Johnson City,US
Toy Airpark,Liverpool,US
Gattis Strip,Wasilla,US
Heifer Creek Ranch Airport,Springfield,US
Yav'Pe Ma'Ta Airport,Skull Valley,US
Dry Pen Airport,Parachute,US
Little Deer Airport,Ochopee,US
Skinners Wholesale Nursery Airport,Crescent City,US
J-22 Ranch Airport,Milton,US
Stangl Airport,Coon Rapids,US
Harold Bunger Airport,Kirkland,US
Harmony Valley Airport,Independence,US
Evan Airport,Prairieville,US
High Valley Airport,North East,US
Barnstormers 5 Airport,Gaines,US
Findley Field,Beaufort,US
Bangart Field,Roberts,US
Lee's Airport,Edenton,US
Kalberer Airport,Bismarck,US
Korver Airport,Panama,US
Papp Airpark,Fort Edward,US
Trump Airport,Greenville,US
Entz Arts Airport,Hydro,US
Horseshoe Landing Airport,Cross Anchor,US
Seven Springs Airport,Toyahvale,US
Holly Lake Ranch Airport,Hawkins,US
16 L Ranch Airport,Normangee,US
Hamlin Airport,Hamlin,US
Hinrichsen Field,Perry,US
Echols Field,Mount Solon,US
Tightcliff Airport,Nine Mile Falls,US
Outlaw Flyers Airport,Conroe,US
Bredlow Farm Airport,England,US
Las Trancas Airport,Davenport,US
Skylane Ranch Airport,Berthoud,US
Cotton Strip,La Belle,US
Jumbolair Airport,Ocala,US
Panther Creek Airport,Newnan,US
Coyote Ridge Airport,Midvale,US
Dreessen Field,Walkerton,US
Pruss Airport,Farmers Retreat,US
Tamarack Landing Airport,Salina,US
Yankee Field,Port Barre,US
Bresett's Mountainside Airport,Van Buren,US
Rgl Field,Montgomery City,US
Lakeshore Heritage Airpark,Kalispell,US
B-B Airfield,Osborn,US
Mitchell Field,Elizabethtown,US
Re-Dun Field,Reading Center,US
Zombie Air Force Airport,Ammon,US
Kosik Airport,Kipton,US
Haas Airport,Bainbridge,US
Good Life Ranch Airport,Chickasha,US
Glide Aero Airport,Glide,US
Stone's Conservation Airport,Gary,US
Comfort Airpark,Comfort,US
Murphy Field,Jonesborough,US
Kimzey Airport,Stephenville,US
Ha-Rail Airport,Lake Mills,US
Lathrop Field,Davenport,US
Mandyland Airport,Floresville,US
Quahadi Ranch Airport,Dublin,US
18 Meadows Aerodrome,Haines,US
Buck Mountain Airport,Eureka Springs,US
Sky Ranch At Carefree Airport,Carefree,US
Bowles Airport,Live Oak,US
Skypark Estates Owners Assoc Airport,Baker,US
Sleepy Hollow Airport,Social Circle,US
Lefty's Landing Airport,Uvalda,US
Brandt Field,Kaunakakai,US
Mc Gill Airport,Cicero,US
Heritage Farm Field,Plymouth,US
Skamokawa East Valley Airport,Skamokawa,US
Cherokee Strip,Udall,US
Ruby Airport,Bristol,US
R & R Ranch Airport,Marshall,US
Hines Farm Airport,Motley,US
Gimlin Airport,Ozark,US
Johns Landing Airport,Jackson,US
Fish Ranch Airport,Jackson,US
Lanni Field,Lenoir,US
Bearpaw Airport,Menoken,US
Suggs Field,Kinston,US
Empire Airport,Empire,US
Strip In The Woods Airport,Woodstock,US
Boggy Bottoms Airport,Vickery,US
Red's Field,Amity,US
Slack Airport,Forest Grove,US
Spud View Airport,Upper Strasburg,US
American Dream Skyranch Airport,Ninety Six,US
Lost Creek Airport,Miller,US
West Kerr Ranch Airport,Junction,US
Alert Field,Big Sandy,US
